2015-2-17 CentOS 7,2*Xeon E5-2620 v2@2.10GHz(24 hardware threads), Oracle JDK1.7.0_72,Clojure 1.7.0-alpha3 32~1024 Connections (wrk2 Keep-Alive:On)

|          Server | Port | Threads | Conns | Queries/Second | Mean Latency(s) | 99.99% Latency(s) | Error Rate(%) | Errors |    Total |
|-----------------+------+---------+-------+----------------+-----------------+-------------------+---------------+--------+----------|
|      ring-jetty | 8082 |      16 |    32 |         101209 |           26.12 |            45.119 |           0.0 |      0 |  6072068 |
|      ring-jetty | 8082 |      16 |    64 |         121057 |           24.43 |            42.209 |           0.0 |      0 |  7262559 |
|      ring-jetty | 8082 |      16 |   128 |         129976 |          23.629 |             40.86 |           0.0 |      0 |  7797718 |
|      ring-jetty | 8082 |      16 |   256 |         132954 |          23.409 |              40.4 |           0.0 |      0 |  7976607 |
|      ring-jetty | 8082 |      16 |   512 |         135459 |           23.11 |            39.909 |           0.0 |      0 |  8126766 |
|      ring-jetty | 8082 |      16 |  1024 |         135483 |            23.1 |             39.75 |           0.0 |      0 |  8128141 |
|           aleph | 8084 |      16 |    32 |         284016 |          10.189 |             18.94 |           0.0 |      0 | 17039583 |
|           aleph | 8084 |      16 |    64 |         306943 |            7.01 |             28.26 |           0.0 |      0 | 18415093 |
|           aleph | 8084 |      16 |   128 |         331734 |           5.579 |            17.889 |           0.0 |      0 | 19902602 |
|           aleph | 8084 |      16 |   256 |         344574 |            4.75 |             15.72 |           0.0 |      0 | 20672658 |
|           aleph | 8084 |      16 |   512 |         349369 |           4.349 |             13.09 |           0.0 |      0 | 20960270 |
|           aleph | 8084 |      16 |  1024 |         348811 |            4.32 |            14.189 |           0.0 |      0 | 20926834 |
|        http-kit | 8087 |      16 |    32 |         163899 |          20.739 |             36.83 |           0.0 |      0 |  9832876 |
|        http-kit | 8087 |      16 |    64 |         160900 |           20.85 |              36.5 |           0.0 |      0 |  9653080 |
|        http-kit | 8087 |      16 |   128 |         163231 |           20.79 |             35.88 |           0.0 |      0 |  9792906 |
|        http-kit | 8087 |      16 |   256 |         160713 |           20.86 |             36.04 |           0.0 |      0 |  9641692 |
|        http-kit | 8087 |      16 |   512 |         157583 |           21.03 |            36.369 |           0.0 |      0 |  9454012 |
|        http-kit | 8087 |      16 |  1024 |         149999 |           21.87 |            37.389 |           0.0 |      0 |  8998881 |
|        tomcat 7 | 8090 |      16 |    32 |         122603 |           24.28 |            41.709 |           0.0 |      0 |  7355405 |
|        tomcat 7 | 8090 |      16 |    64 |          96300 |          26.579 |             45.68 |           0.0 |      0 |  5777514 |
|        tomcat 7 | 8090 |      16 |   128 |          89911 |           27.12 |             46.63 |           0.0 |      0 |  5394169 |
|        tomcat 7 | 8090 |      16 |   256 |          89616 |          27.129 |              48.2 |           0.0 |     17 |  5376521 |
|        tomcat 7 | 8090 |      16 |   512 |          89292 |          26.889 |            52.799 |         0.035 |   1890 |  5358843 |
|        tomcat 7 | 8090 |      16 |  1024 |          89064 |           26.54 |              55.2 |         0.168 |   9035 |  5352270 |
| jetty 7 servlet | 8091 |      16 |    32 |         106698 |          25.659 |             44.43 |           0.0 |      0 |  6401366 |
| jetty 7 servlet | 8091 |      16 |    64 |         137661 |           22.95 |             40.08 |           0.0 |      0 |  8258583 |
| jetty 7 servlet | 8091 |      16 |   128 |         155993 |           21.35 |            37.189 |           0.0 |      0 |  9358510 |
| jetty 7 servlet | 8091 |      16 |   256 |         161006 |          20.979 |             36.34 |           0.0 |      0 |  9659415 |
| jetty 7 servlet | 8091 |      16 |   512 |         164206 |          20.569 |             35.68 |           0.0 |      0 |  9851272 |
| jetty 7 servlet | 8091 |      16 |  1024 |         163539 |          20.649 |            35.619 |           0.0 |      0 |  9811419 |
| jetty 8 servlet | 8092 |      16 |    32 |         106456 |          25.639 |              44.5 |           0.0 |      0 |  6386804 |
| jetty 8 servlet | 8092 |      16 |    64 |         134710 |          23.159 |            40.369 |           0.0 |      0 |  8081735 |
| jetty 8 servlet | 8092 |      16 |   128 |         149606 |           21.92 |            37.979 |           0.0 |      0 |  8975336 |
| jetty 8 servlet | 8092 |      16 |   256 |         154238 |           21.59 |            37.319 |           0.0 |      0 |  9253270 |
| jetty 8 servlet | 8092 |      16 |   512 |         154836 |          21.409 |             37.06 |           0.0 |      0 |  9289220 |
| jetty 8 servlet | 8092 |      16 |  1024 |         154339 |          21.479 |             36.93 |           0.0 |      0 |  9259249 |
| jetty 9 servlet | 8093 |      16 |    32 |         126707 |          23.889 |            41.549 |           0.0 |      0 |  7601664 |
| jetty 9 servlet | 8093 |      16 |    64 |         146425 |           22.19 |              38.9 |           0.0 |      0 |  8784464 |
| jetty 9 servlet | 8093 |      16 |   128 |         179605 |          19.229 |            34.369 |           0.0 |      0 | 10775046 |
| jetty 9 servlet | 8093 |      16 |   256 |         197049 |           17.75 |            31.719 |           0.0 |      0 | 11821649 |
| jetty 9 servlet | 8093 |      16 |   512 |         202841 |           17.18 |            30.649 |           0.0 |      0 | 12169182 |
| jetty 9 servlet | 8093 |      16 |  1024 |         201391 |          17.239 |             30.34 |           0.0 |      0 | 12082729 |
|   nginx-clojure | 8094 |      16 |    32 |         164349 |           15.22 |             46.63 |           0.0 |      0 |  9859877 |
|   nginx-clojure | 8094 |      16 |    64 |         206545 |           11.01 |             44.63 |           0.0 |      0 | 12391586 |
|   nginx-clojure | 8094 |      16 |   128 |         284053 |            9.31 |            28.389 |           0.0 |      0 | 17040780 |
|   nginx-clojure | 8094 |      16 |   256 |         320228 |            6.36 |            24.069 |           0.0 |      0 | 19212074 |
|   nginx-clojure | 8094 |      16 |   512 |         344079 |            4.51 |             22.12 |           0.0 |      0 | 20642528 |
|   nginx-clojure | 8094 |      16 |  1024 |         336062 |            4.48 |             28.87 |           0.0 |     88 | 20161967 |
|      immutant 1 | 8095 |      16 |    32 |         176710 |          19.549 |            34.049 |           0.0 |      0 | 10601748 |
|      immutant 1 | 8095 |      16 |    64 |         177780 |           19.44 |             34.08 |           0.0 |      0 | 10665976 |
|      immutant 1 | 8095 |      16 |   128 |         180007 |          18.709 |            39.189 |           0.0 |      0 | 10799540 |
|      immutant 1 | 8095 |      16 |   256 |         177989 |          19.409 |            36.569 |           0.0 |      0 | 10678455 |
|      immutant 1 | 8095 |      16 |   512 |         171420 |           20.03 |            36.139 |           0.0 |      0 | 10280033 |
|      immutant 1 | 8095 |      16 |  1024 |         153251 |          21.569 |             38.24 |           0.0 |      0 |  9194738 |
|   ring-undertow | 8096 |      16 |    32 |         290387 |           9.569 |            21.329 |           0.0 |      0 | 17421615 |
|   ring-undertow | 8096 |      16 |    64 |         317908 |           6.019 |             28.93 |           0.0 |      0 | 19073044 |
|   ring-undertow | 8096 |      16 |   128 |         348079 |           3.859 |            21.739 |           0.0 |      0 | 20883099 |
|   ring-undertow | 8096 |      16 |   256 |         362953 |           2.789 |              26.1 |           0.0 |      0 | 21775453 |
|   ring-undertow | 8096 |      16 |   512 |         371962 |            2.15 |             24.51 |           0.0 |      0 | 22315559 |
|   ring-undertow | 8096 |      16 |  1024 |         370544 |            2.22 |             22.28 |           0.0 |     56 | 22231183 |
|           vertx | 8097 |      16 |    32 |          31372 |           32.36 |            56.999 |           0.0 |      0 |  1882181 |
|           vertx | 8097 |      16 |    64 |          31881 |          32.259 |              55.2 |           0.0 |      0 |  1912803 |
|           vertx | 8097 |      16 |   128 |          32085 |           32.06 |              55.2 |           0.0 |      0 |  1925005 |
|           vertx | 8097 |      16 |   256 |          32325 |           32.18 |              55.8 |           0.0 |      0 |  1939385 |
|           vertx | 8097 |      16 |   512 |          31771 |           32.18 |              55.2 |           0.0 |      0 |  1906145 |
|           vertx | 8097 |      16 |  1024 |          29336 |           32.38 |              55.8 |           0.0 |      0 |  1760013 |
|        tomcat 8 | 8098 |      16 |    32 |         102476 |           26.03 |              44.7 |           0.0 |      0 |  6148077 |
|        tomcat 8 | 8098 |      16 |    64 |         114423 |           25.04 |             43.02 |           0.0 |      0 |  6864654 |
|        tomcat 8 | 8098 |      16 |   128 |         122357 |          24.329 |            41.779 |           0.0 |      0 |  7340702 |
|        tomcat 8 | 8098 |      16 |   256 |         128622 |           23.78 |             40.83 |           0.0 |      0 |  7716697 |
|        tomcat 8 | 8098 |      16 |   512 |         133602 |          23.239 |            39.979 |           0.0 |      0 |  8015475 |
|        tomcat 8 | 8098 |      16 |  1024 |         135273 |           23.12 |             39.68 |           0.0 |      0 |  8115573 |
|      immutant 2 | 8099 |      16 |    32 |         296864 |            9.01 |             19.17 |           0.0 |      0 | 17810116 |
|      immutant 2 | 8099 |      16 |    64 |         324190 |           5.369 |              28.7 |           0.0 |      0 | 19449487 |
|      immutant 2 | 8099 |      16 |   128 |         351330 |            3.64 |             22.53 |           0.0 |      0 | 21077417 |
|      immutant 2 | 8099 |      16 |   256 |         366857 |           2.519 |            23.559 |           0.0 |      0 | 22008955 |
|      immutant 2 | 8099 |      16 |   512 |         375803 |            1.82 |            22.229 |           0.0 |      0 | 22545722 |
|      immutant 2 | 8099 |      16 |  1024 |         375568 |            1.85 |            20.739 |           0.0 |     39 | 22532309 |

