2015-2-17 CentOS 7,2*Xeon E5-2620 v2@2.10GHz(24 hardware threads), Oracle JDK1.7.0_72,Clojure 1.7.0-alpha3 32~1024 Connections (wrk2 Keep-Alive:Off)

|          Server | Port | Threads | Conns | Queries/Second | Mean Latency(s) | 99.99% Latency(s) | Error Rate(%) | Errors |   Total |
|-----------------+------+---------+-------+----------------+-----------------+-------------------+---------------+--------+---------|
|      ring-jetty | 8082 |      16 |    32 |          28622 |           1.629 |              3.68 |           0.0 |      0 | 1717201 |
|      ring-jetty | 8082 |      16 |    64 |          29808 |           0.295 |             3.519 |           0.0 |      0 | 1788331 |
|      ring-jetty | 8082 |      16 |   128 |          29502 |           0.853 |              9.13 |           0.0 |     11 | 1769990 |
|      ring-jetty | 8082 |      16 |   256 |          29432 |             1.1 |             10.85 |         0.002 |     45 | 1765893 |
|      ring-jetty | 8082 |      16 |   512 |          29151 |            1.35 |            19.989 |         0.013 |    237 | 1749206 |
|      ring-jetty | 8082 |      16 |  1024 |          28776 |           1.789 |             20.35 |         0.059 |   1034 | 1727391 |
|           aleph | 8084 |      16 |    32 |          28561 |            1.87 |             4.949 |           0.0 |      0 | 1713547 |
|           aleph | 8084 |      16 |    64 |          29095 |           1.019 |              4.78 |           0.0 |      0 | 1745592 |
|           aleph | 8084 |      16 |   128 |          28905 |            1.33 |               8.0 |           0.0 |      0 | 1734153 |
|           aleph | 8084 |      16 |   256 |          28828 |           1.299 |              9.55 |           0.0 |      0 | 1729579 |
|           aleph | 8084 |      16 |   512 |          28825 |           1.299 |            11.199 |           0.0 |      0 | 1729334 |
|           aleph | 8084 |      16 |  1024 |          28411 |            1.62 |             15.22 |           0.0 |      0 | 1704539 |
|        tomcat 7 | 8090 |      16 |    32 |          29898 |           0.066 |             1.009 |           0.0 |      0 | 1794627 |
|        tomcat 7 | 8090 |      16 |    64 |          29793 |           0.039 |             1.009 |           0.0 |      0 | 1787421 |
|        tomcat 7 | 8090 |      16 |   128 |          29684 |           0.195 |             3.799 |           0.0 |      0 | 1780890 |
|        tomcat 7 | 8090 |      16 |   256 |          29769 |           0.455 |              5.28 |         0.001 |     31 | 1786123 |
|        tomcat 7 | 8090 |      16 |   512 |          29489 |           0.759 |             11.01 |         0.025 |    454 | 1769630 |
|        tomcat 7 | 8090 |      16 |  1024 |          27451 |            3.41 |             38.31 |         0.244 |   4042 | 1650932 |
| jetty 7 servlet | 8091 |      16 |    32 |          29604 |           0.451 |              1.98 |           0.0 |      0 | 1776099 |
| jetty 7 servlet | 8091 |      16 |    64 |          29436 |           0.497 |              5.55 |           0.0 |      0 | 1766012 |
| jetty 7 servlet | 8091 |      16 |   128 |          29468 |           0.856 |              6.92 |           0.0 |      4 | 1767909 |
| jetty 7 servlet | 8091 |      16 |   256 |          29317 |           1.259 |              10.6 |         0.001 |     27 | 1758861 |
| jetty 7 servlet | 8091 |      16 |   512 |          29080 |           1.519 |            13.279 |         0.013 |    240 | 1745024 |
| jetty 7 servlet | 8091 |      16 |  1024 |          28945 |            1.73 |             14.93 |         0.053 |    930 | 1737438 |
| jetty 8 servlet | 8092 |      16 |    32 |          29359 |           0.717 |             2.349 |           0.0 |      0 | 1761337 |
| jetty 8 servlet | 8092 |      16 |    64 |          29746 |           0.471 |             4.739 |           0.0 |      0 | 1784587 |
| jetty 8 servlet | 8092 |      16 |   128 |          29426 |           0.896 |               8.5 |           0.0 |     15 | 1765420 |
| jetty 8 servlet | 8092 |      16 |   256 |          29389 |            1.11 |             10.17 |         0.001 |     34 | 1763264 |
| jetty 8 servlet | 8092 |      16 |   512 |          28972 |            1.72 |            13.449 |         0.011 |    194 | 1738530 |
| jetty 8 servlet | 8092 |      16 |  1024 |          28850 |            1.99 |             20.51 |         0.058 |   1014 | 1731875 |
| jetty 9 servlet | 8093 |      16 |    32 |          29980 |           0.012 |             1.039 |           0.0 |      0 | 1798645 |
