
Port 8080: Benching for 60x10=600 seconds...
dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
1440	1440.7	30.0	1421.2	1440.6	1459.3	15.1	0.1	395.3	0
2880	2880.6	60.0	2842.5	2877.4	2918.8	23.4	0.2	790.5	0
4320	4320.6	90.0	4273.4	4320.3	4368.5	21.9	0.3	1185.6	0
5760	5760.4	120.0	5499.5	5760.0	6018.7	124.5	0.3	1580.7	0
7200	7199.2	150.0	7111.1	7200.0	7290.4	54.6	0.6	1975.6	0
8640	8640.1	180.0	8404.2	8630.7	8944.9	153.6	2.3	2371.0	0
10080	9905.6	206.4	9176.2	9901.2	11026.1	521.4	23.4	2718.2	0
11520	9861.7	206.6	9570.9	9848.2	10066.8	181.9	78.9	2706.2	0.258221459048808
12960	9929.8	208.5	9356.6	9918.5	10398.3	260.8	85.6	2724.9	0.52143628926449
14400	10007.0	211.4	9603.1	10010.1	10471.0	277.7	82.6	2746.1	0.776424159231297
Port 8081: Benching for 60x10=600 seconds...
dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
1440	1440.3	30.0	1037.4	1438.8	1842.7	181.9	6.1	305.2	0
2880	2877.5	59.9	2844.5	2878.2	2917.6	24.6	0.5	609.8	0
4320	4314.9	89.9	4192.0	4320.2	4392.6	67.1	3.3	914.4	0
5760	5068.2	105.6	3901.8	5046.5	5697.4	483.7	106.0	1074.0	0.0740088211323649
7200	4817.3	100.4	3614.9	4801.9	5334.2	452.5	181.6	1020.8	0.78890931372549
8640	4832.6	100.7	4105.4	4856.9	5873.4	497.2	189.6	1024.1	1.30267118133935
10080	4885.8	101.8	4230.5	4902.0	5374.6	361.0	191.7	1035.4	1.85101918465228
11520	4817.7	100.4	4272.2	4818.7	5497.4	370.2	197.2	1020.9	2.46556734900177
12960	5064.3	105.5	4134.6	5080.0	5658.3	423.3	189.1	1073.2	2.85810151293314
14400	5048.5	105.2	4133.2	5011.9	6358.7	530.4	190.7	1069.9	3.45826560267967
Port 8082: Benching for 60x10=600 seconds...
dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
1440	1439.5	30.0	1266.3	1438.7	1618.9	80.2	2.8	227.7	0
2880	2880.5	60.0	2851.2	2880.4	2918.3	19.6	0.3	455.7	0
4320	4319.9	90.0	4059.8	4320.3	4644.4	135.2	1.2	683.4	0
5760	5395.4	112.4	4675.9	5412.4	6045.7	427.8	51.9	853.6	0
7200	4721.8	98.4	4213.8	4722.6	5538.0	404.7	185.5	747.0	0.838137529863924
8640	4555.0	94.9	4053.4	4547.4	5086.4	311.5	200.9	720.6	1.57639340707005
10080	4521.0	94.2	4126.9	4518.0	4843.1	220.2	206.5	715.2	2.19958394517866
11520	4574.2	95.3	4233.0	4572.5	5031.3	287.4	204.3	723.7	2.6922158548233
12960	4605.8	96.0	3995.0	4601.2	5133.8	456.8	206.8	728.7	3.31839521980367
14400	4395.2	91.6	3892.6	4391.7	5093.4	358.6	218.5	695.3	4.18337789661319
Port 8083: Benching for 60x10=600 seconds...
dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
1440	1440.6	30.0	381.8	1437.4	2679.4	801.5	191.9	296.8	0
2880	2863.6	59.7	2675.1	2862.8	3061.5	123.2	8.2	590.1	0
4320	2774.7	57.8	2597.1	2764.9	3094.5	129.8	294.5	571.7	0.751133786848073
5760	2656.9	55.4	2365.7	2640.9	2893.5	140.5	338.3	547.5	1.87445030782762
7200	2752.1	57.3	2532.7	2742.5	2945.9	154.0	331.4	567.1	2.65630266262218
8640	2761.8	57.5	2546.1	2745.1	2918.3	102.3	336.4	569.1	3.57135377398006
10080	2757.3	57.4	2539.3	2742.4	2994.3	122.3	340.7	568.2	4.51214405360134
11520	2729.6	56.9	2268.6	2707.8	2939.4	175.7	344.6	562.4	5.53087986463621
12960	2732.9	56.9	2490.3	2712.7	2947.0	125.3	346.8	563.1	6.45016856300042
14400	2770.6	57.7	2397.0	2751.3	2955.4	146.7	341.6	570.9	7.44652689538331
Port 8084: Benching for 60x10=600 seconds...
dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
1440	1440.6	30.0	1424.7	1440.4	1459.3	7.8	0.3	296.8	0
2880	2874.6	59.9	2681.5	2874.4	3004.1	84.8	3.9	592.3	0
4320	2843.1	59.2	2638.5	2829.6	3192.6	140.2	285.6	585.8	0.690335305719921
5760	2810.8	58.6	2650.5	2792.7	3003.5	103.2	317.1	579.2	1.67230011684193
7200	2771.4	57.7	2536.3	2762.9	2927.8	123.8	329.1	571.1	2.65031978456619
8640	2795.7	58.2	2457.3	2777.3	3111.0	165.1	332.5	576.1	3.53324180396073
10080	2832.9	59.0	2677.2	2820.0	3079.4	104.1	333.0	583.7	4.29731810079404
11520	2778.0	57.9	2566.0	2762.5	3017.6	158.7	339.5	572.4	5.45246169304195
12960	2768.5	57.7	2535.9	2755.9	3019.2	119.7	342.7	570.5	6.35838752709688
14400	2812.6	58.6	2566.1	2800.9	2972.5	116.9	338.4	579.5	7.13042588042588
Port 8085: Benching for 60x10=600 seconds...
dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
1440	1440.7	30.0	1417.2	1440.4	1459.4	17.5	0.3	268.7	0
2880	2880.5	60.0	2847.1	2877.3	2915.6	22.3	0.3	537.3	0
4320	4316.6	89.9	4266.9	4315.5	4371.6	34.7	0.5	805.1	0
5760	5737.1	119.5	5594.5	5727.7	5923.2	100.7	4.0	1070.1	0
7200	5583.8	116.3	5076.0	5558.4	5961.1	244.8	155.0	1041.5	0.41466826538769
8640	5611.4	116.9	5142.2	5621.6	5885.0	213.8	162.7	1046.6	0.882656648211618
10080	5654.7	117.8	5411.5	5638.6	5938.7	158.1	165.5	1054.7	1.37197797376157
11520	5645.4	117.6	5420.5	5629.0	5933.9	178.7	168.3	1053.0	1.868715145128
12960	5591.4	116.5	5316.9	5551.7	5778.0	148.6	171.7	1042.9	2.41306954436451
14400	5598.3	116.6	5255.7	5586.4	6129.1	223.5	172.1	1044.2	2.90270575721314
Port 8086: Benching for 60x10=600 seconds...
dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
1440	1440.2	30.0	1419.0	1438.7	1459.4	16.9	0.2	181.4	0
2880	2879.7	60.0	2843.7	2880.3	2918.5	22.1	0.2	362.8	0
4320	4320.4	90.0	4269.3	4320.1	4370.0	39.9	0.2	544.3	0
5760	5760.2	120.0	5691.6	5759.8	5829.8	49.3	0.3	725.7	0
7200	7191.7	149.8	7082.8	7190.3	7286.7	55.9	0.5	906.0	0
8640	8620.6	179.6	8394.9	8620.0	8911.8	177.1	3.9	1086.0	0
10080	10027.3	208.9	9156.5	10022.6	10776.4	412.4	8.8	1263.2	0
11520	9791.3	204.0	7917.7	9776.7	10816.7	799.8	81.2	1283.6	0.274971831354977
12960	10007.9	208.5	9748.7	10005.9	10373.6	168.7	92.1	1331.2	0.516620445266158
14400	10054.9	209.5	9609.6	10037.1	10377.2	266.0	94.4	1372.5	0.77664226154159
Port 8087: Benching for 60x10=600 seconds...
dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
1440	1440.7	30.0	1422.8	1440.6	1459.2	8.3	0.2	181.5	0
2880	2880.5	60.0	2849.4	2880.3	2918.6	21.1	0.2	362.9	0
4320	4320.4	90.0	4267.7	4320.0	4371.7	35.9	0.3	544.3	0
5760	5760.2	120.0	5687.6	5755.2	5829.3	46.7	0.3	725.6	0
7200	7199.3	150.0	7113.4	7197.3	7276.3	41.0	0.6	906.9	0
8640	8637.6	179.9	8358.6	8625.9	8999.3	196.1	3.3	1088.1	0
10080	9617.5	200.4	8703.3	9600.8	11006.0	630.8	56.9	1259.3	0.0119731800766284
11520	9755.8	203.2	8982.2	9773.6	10555.7	364.6	86.6	1293.9	0.269976989854618
12960	9733.6	202.8	9093.0	9746.9	10285.5	319.4	96.5	1311.5	0.579178500052593
14400	9452.9	196.9	9144.1	9565.1	10091.6	309.3	99.7	1247.0	0.934532431997425
Port 8088: Benching for 60x10=600 seconds...
dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
