2015-1-30 CentOS 7,2*Xeon E5-2620 v2@2.10GHz(24 hardware threads), Oracle JDK1.7.0_72,Clojure 1.7.0-alpha3 32~1024 Connections (wrk2 Keep-Alive:On)

|          Server | Port | Threads | Conns | Queries/Second | Mean Latency(s) | 99.99% Latency(s) | Error Rate(%) | Errors |    Total |
|-----------------+------+---------+-------+----------------+-----------------+-------------------+---------------+--------+----------|
|      ring-jetty | 8082 |      16 |    32 |         102800 |            26.0 |            44.919 |           0.0 |      0 |  6167603 |
|      ring-jetty | 8082 |      16 |    64 |         125384 |          24.049 |             41.65 |           0.0 |      0 |  7522332 |
|      ring-jetty | 8082 |      16 |   128 |         135095 |          23.329 |             40.24 |           0.0 |      0 |  8104923 |
|      ring-jetty | 8082 |      16 |   256 |         141196 |           22.68 |             39.29 |           0.0 |      0 |  8471036 |
|      ring-jetty | 8082 |      16 |   512 |         145010 |          22.309 |            38.569 |           0.0 |      0 |  8699848 |
|      ring-jetty | 8082 |      16 |  1024 |         143896 |           22.28 |             38.54 |           0.0 |      0 |  8633434 |
|           aleph | 8084 |      16 |    32 |         285636 |          10.029 |             18.79 |           0.0 |      0 | 17137943 |
|           aleph | 8084 |      16 |    64 |         312093 |            6.63 |            27.129 |           0.0 |      0 | 18723999 |
|           aleph | 8084 |      16 |   128 |         304972 |            8.02 |            20.379 |           0.0 |      0 | 18296629 |
|           aleph | 8084 |      16 |   256 |         346520 |           4.809 |             13.72 |           0.0 |      0 | 20793054 |
|           aleph | 8084 |      16 |   512 |         350621 |           4.119 |             12.09 |           0.0 |      0 | 21035263 |
|           aleph | 8084 |      16 |  1024 |         353240 |            3.93 |            11.939 |           0.0 |      0 | 21192963 |
|        http-kit | 8087 |      16 |    32 |         165562 |          20.469 |             35.75 |           0.0 |      0 |  9933073 |
|        http-kit | 8087 |      16 |    64 |         160594 |          20.909 |             36.27 |           0.0 |      0 |  9634936 |
|        http-kit | 8087 |      16 |   128 |         159454 |           21.11 |             36.31 |           0.0 |      0 |  9566378 |
|        http-kit | 8087 |      16 |   256 |         161105 |           21.01 |            35.909 |           0.0 |      0 |  9665538 |
|        http-kit | 8087 |      16 |   512 |         159511 |          21.129 |             36.08 |           0.0 |      0 |  9569716 |
|        http-kit | 8087 |      16 |  1024 |         154536 |          21.379 |            36.729 |           0.0 |      0 |  9271265 |
|        tomcat 7 | 8090 |      16 |    32 |         121443 |          24.389 |             41.84 |           0.0 |      0 |  7285883 |
|        tomcat 7 | 8090 |      16 |    64 |         102054 |          26.079 |             44.79 |           0.0 |      0 |  6122780 |
|        tomcat 7 | 8090 |      16 |   128 |          88172 |          27.219 |            46.919 |           0.0 |      0 |  5289887 |
|        tomcat 7 | 8090 |      16 |   256 |          88498 |          27.229 |            48.299 |           0.0 |     18 |  5309461 |
|        tomcat 7 | 8090 |      16 |   512 |          88324 |           27.09 |            56.999 |         0.036 |   1936 |  5300845 |
|        tomcat 7 | 8090 |      16 |  1024 |          86901 |           26.95 |              55.8 |         0.175 |   9153 |  5222676 |
| jetty 7 servlet | 8091 |      16 |    32 |         111617 |           25.25 |             43.61 |           0.0 |      0 |  6696491 |
| jetty 7 servlet | 8091 |      16 |    64 |         139157 |           22.85 |             39.52 |           0.0 |      0 |  8348709 |
| jetty 7 servlet | 8091 |      16 |   128 |         154489 |          21.459 |            37.319 |           0.0 |      0 |  9268617 |
| jetty 7 servlet | 8091 |      16 |   256 |         157178 |          21.239 |             36.83 |           0.0 |      0 |  9429763 |
| jetty 7 servlet | 8091 |      16 |   512 |         160670 |           20.95 |             36.24 |           0.0 |      0 |  9639606 |
| jetty 7 servlet | 8091 |      16 |  1024 |         159561 |          20.989 |             36.18 |           0.0 |      0 |  9572806 |
| jetty 8 servlet | 8092 |      16 |    32 |         113452 |           25.09 |            43.479 |           0.0 |      0 |  6806650 |
| jetty 8 servlet | 8092 |      16 |    64 |         139711 |           22.78 |             39.81 |           0.0 |      0 |  8381841 |
| jetty 8 servlet | 8092 |      16 |   128 |         155900 |           21.37 |            37.159 |           0.0 |      0 |  9353237 |
| jetty 8 servlet | 8092 |      16 |   256 |         159975 |           21.09 |             36.47 |           0.0 |      0 |  9597437 |
| jetty 8 servlet | 8092 |      16 |   512 |         162028 |          20.829 |            36.009 |           0.0 |      0 |  9721127 |
| jetty 8 servlet | 8092 |      16 |  1024 |         160779 |           20.87 |            35.979 |           0.0 |      0 |  9645849 |
| jetty 9 servlet | 8093 |      16 |    32 |         121235 |           24.36 |             42.47 |           0.0 |      0 |  7273605 |
| jetty 9 servlet | 8093 |      16 |    64 |         149426 |           21.92 |              38.5 |           0.0 |      0 |  8964578 |
| jetty 9 servlet | 8093 |      16 |   128 |         181510 |          19.049 |            33.849 |           0.0 |      0 | 10889831 |
| jetty 9 servlet | 8093 |      16 |   256 |         195552 |           17.84 |            32.049 |           0.0 |      0 | 11731893 |
| jetty 9 servlet | 8093 |      16 |   512 |         200770 |          17.299 |            30.559 |           0.0 |      0 | 12044971 |
| jetty 9 servlet | 8093 |      16 |  1024 |         199897 |           17.44 |            30.459 |           0.0 |      0 | 11992760 |
|   nginx-clojure | 8094 |      16 |    32 |         197639 |           13.27 |            45.939 |           0.0 |      0 | 11857286 |
|   nginx-clojure | 8094 |      16 |    64 |         212778 |          12.529 |            44.369 |           0.0 |      0 | 12765629 |
|   nginx-clojure | 8094 |      16 |   128 |         237757 |           11.34 |             36.63 |           0.0 |      0 | 14264096 |
|   nginx-clojure | 8094 |      16 |   256 |         347225 |           4.099 |            24.819 |           0.0 |      0 | 20831752 |
|   nginx-clojure | 8094 |      16 |   512 |         341941 |            4.59 |             21.79 |           0.0 |      0 | 20514629 |
|   nginx-clojure | 8094 |      16 |  1024 |         346589 |           4.039 |             21.09 |           0.0 |      0 | 20793678 |
|      immutant 1 | 8095 |      16 |    32 |         181395 |          19.049 |             33.47 |           0.0 |      0 | 10881431 |
|      immutant 1 | 8095 |      16 |    64 |         182871 |           18.95 |            33.619 |           0.0 |      0 | 10971206 |
|      immutant 1 | 8095 |      16 |   128 |         186712 |           17.62 |             39.09 |           0.0 |      0 | 11201917 |
|      immutant 1 | 8095 |      16 |   256 |         185233 |          18.489 |             36.83 |           0.0 |      0 | 11112797 |
|      immutant 1 | 8095 |      16 |   512 |         176216 |          19.299 |            38.139 |           0.0 |      0 | 10571813 |
|      immutant 1 | 8095 |      16 |  1024 |         152475 |           21.62 |            40.139 |           0.0 |      0 |  9148733 |
|   ring-undertow | 8096 |      16 |    32 |         294164 |            8.97 |            19.629 |           0.0 |      0 | 17644828 |
|   ring-undertow | 8096 |      16 |    64 |         329061 |           5.219 |            27.149 |           0.0 |      0 | 19741965 |
|   ring-undertow | 8096 |      16 |   128 |         361702 |           2.869 |            20.379 |           0.0 |      0 | 21700362 |
|   ring-undertow | 8096 |      16 |   256 |         376075 |           1.799 |            23.659 |           0.0 |      0 | 22562567 |
|   ring-undertow | 8096 |      16 |   512 |         384121 |           1.279 |             18.17 |           0.0 |      0 | 23045389 |
|   ring-undertow | 8096 |      16 |  1024 |         381423 |           1.379 |             19.76 |           0.0 |      9 | 22883548 |
|           vertx | 8097 |      16 |    32 |          31969 |          32.209 |            56.999 |           0.0 |      0 |  1918000 |
|           vertx | 8097 |      16 |    64 |          32298 |            32.2 |              55.8 |           0.0 |      0 |  1937801 |
|           vertx | 8097 |      16 |   128 |          32364 |          32.259 |              55.2 |           0.0 |      0 |  1941693 |
|           vertx | 8097 |      16 |   256 |          32090 |          32.229 |              55.8 |           0.0 |      0 |  1925258 |
|           vertx | 8097 |      16 |   512 |          31506 |           32.11 |              55.2 |           0.0 |      0 |  1890186 |
|           vertx | 8097 |      16 |  1024 |          30687 |           32.31 |              55.2 |           0.0 |      0 |  1841338 |
|        tomcat 8 | 8098 |      16 |    32 |         101822 |          26.059 |             44.83 |           0.0 |      0 |  6108871 |
|        tomcat 8 | 8098 |      16 |    64 |         114172 |          25.079 |             43.02 |           0.0 |      0 |  6849658 |
|        tomcat 8 | 8098 |      16 |   128 |         120758 |           24.37 |            42.139 |           0.0 |      0 |  7245096 |
|        tomcat 8 | 8098 |      16 |   256 |         126616 |           24.01 |            41.119 |           0.0 |      0 |  7596459 |
|        tomcat 8 | 8098 |      16 |   512 |         129595 |           23.61 |             40.63 |           0.0 |      0 |  7775472 |
|        tomcat 8 | 8098 |      16 |  1024 |         135271 |          23.159 |             39.65 |           0.0 |      0 |  8115824 |
|      immutant 2 | 8099 |      16 |    32 |         303250 |             8.3 |             18.92 |           0.0 |      0 | 18192987 |
|      immutant 2 | 8099 |      16 |    64 |         327638 |           5.239 |            27.639 |           0.0 |      0 | 19656585 |
|      immutant 2 | 8099 |      16 |   128 |         355904 |           3.269 |            22.709 |           0.0 |      0 | 21352980 |
|      immutant 2 | 8099 |      16 |   256 |         375567 |            1.97 |            23.479 |           0.0 |      0 | 22530944 |
|      immutant 2 | 8099 |      16 |   512 |         382093 |           1.509 |            21.629 |           0.0 |      0 | 22924233 |
|      immutant 2 | 8099 |      16 |  1024 |         380281 |           1.259 |             20.94 |           0.0 |     19 | 22813068 |

