2015-1-30 CentOS 7,2*Xeon E5-2620 v2@2.10GHz(24 hardware threads), Oracle JDK1.7.0_72,Clojure 1.7.0-alpha3 32~1024 Connections (wrk2 Keep-Alive:Off)

|          Server | Port | Threads | Conns | Queries/Second | Mean Latency(s) | 99.99% Latency(s) | Error Rate(%) |  Errors |   Total |
|-----------------+------+---------+-------+----------------+-----------------+-------------------+---------------+---------+---------|
|      ring-jetty | 8082 |      16 |    32 |              0 |             0.0 |               0.0 |         100.0 | 1713856 | 1713856 |
|      ring-jetty | 8082 |      16 |    64 |              0 |             0.0 |               0.0 |         100.0 | 1834951 | 1834951 |
|      ring-jetty | 8082 |      16 |   128 |              0 |             0.0 |               0.0 |         100.0 | 1844862 | 1844862 |
|      ring-jetty | 8082 |      16 |   256 |              0 |             0.0 |               0.0 |         100.0 | 1856555 | 1856555 |
|      ring-jetty | 8082 |      16 |   512 |              0 |             0.0 |               0.0 |         100.0 | 1850793 | 1850793 |
|      ring-jetty | 8082 |      16 |  1024 |              0 |             0.0 |               0.0 |         100.0 | 1858102 | 1858102 |
|           aleph | 8084 |      16 |    32 |          28853 |             9.8 |             17.79 |           0.0 |       0 | 1731000 |
|           aleph | 8084 |      16 |    64 |          29040 |            9.52 |             19.86 |           0.0 |       0 | 1742244 |
|           aleph | 8084 |      16 |   128 |          28850 |           9.789 |            21.559 |           0.0 |       0 | 1730837 |
|           aleph | 8084 |      16 |   256 |          29030 |           9.479 |            23.819 |           0.0 |       0 | 1741619 |
|           aleph | 8084 |      16 |   512 |          29003 |           9.359 |             28.43 |           0.0 |       0 | 1740044 |
|           aleph | 8084 |      16 |  1024 |          28858 |           9.369 |             30.51 |           0.0 |       0 | 1731265 |
|        http-kit | 8087 |      16 |    32 |          29659 |           9.159 |             15.52 |        49.999 | 1779307 | 3558674 |
|        http-kit | 8087 |      16 |    64 |          32965 |            5.65 |             14.35 |        49.999 | 1977687 | 3955429 |
|        http-kit | 8087 |      16 |   128 |          34874 |           4.469 |            16.049 |        49.894 | 2083424 | 4175659 |
|        http-kit | 8087 |      16 |   256 |          34550 |           4.889 |             24.18 |        49.971 | 2070389 | 4143170 |
|        http-kit | 8087 |      16 |   512 |          34094 |           5.329 |             27.59 |        49.954 | 2041803 | 4087307 |
|        http-kit | 8087 |      16 |  1024 |          33441 |            5.63 |            28.049 |        49.951 | 2002381 | 4008660 |
|        tomcat 7 | 8090 |      16 |    32 |          34386 |           4.949 |             9.449 |           0.0 |       0 | 2062958 |
|        tomcat 7 | 8090 |      16 |    64 |          34816 |            4.51 |            10.529 |           0.0 |       0 | 2088801 |
|        tomcat 7 | 8090 |      16 |   128 |          34774 |           4.329 |             13.96 |           0.0 |      19 | 2086240 |
|        tomcat 7 | 8090 |      16 |   256 |          33858 |           5.079 |             23.92 |         0.008 |     179 | 2031452 |
|        tomcat 7 | 8090 |      16 |   512 |          33987 |             5.0 |             24.61 |          0.04 |     817 | 2039848 |
|        tomcat 7 | 8090 |      16 |  1024 |          33419 |           5.619 |             46.33 |          0.13 |    2629 | 2007600 |
| jetty 7 servlet | 8091 |      16 |    32 |              0 |             0.0 |               0.0 |         100.0 | 1773980 | 1773980 |
| jetty 7 servlet | 8091 |      16 |    64 |              0 |             0.0 |               0.0 |         100.0 | 1867840 | 1867840 |
| jetty 7 servlet | 8091 |      16 |   128 |              0 |             0.0 |               0.0 |         100.0 | 1874804 | 1874804 |
| jetty 7 servlet | 8091 |      16 |   256 |              0 |             0.0 |               0.0 |         100.0 | 1883047 | 1883047 |
| jetty 7 servlet | 8091 |      16 |   512 |              0 |             0.0 |               0.0 |         100.0 | 1881626 | 1881626 |
| jetty 7 servlet | 8091 |      16 |  1024 |              0 |             0.0 |               0.0 |         100.0 | 1900191 | 1900191 |
| jetty 8 servlet | 8092 |      16 |    32 |              0 |             0.0 |               0.0 |         100.0 | 1753094 | 1753094 |
| jetty 8 servlet | 8092 |      16 |    64 |              0 |             0.0 |               0.0 |         100.0 | 1852869 | 1852869 |
| jetty 8 servlet | 8092 |      16 |   128 |              0 |             0.0 |               0.0 |         100.0 | 1857710 | 1857710 |
| jetty 8 servlet | 8092 |      16 |   256 |              0 |             0.0 |               0.0 |         100.0 | 1872656 | 1872656 |
| jetty 8 servlet | 8092 |      16 |   512 |              0 |             0.0 |               0.0 |         100.0 | 1870521 | 1870521 |
| jetty 8 servlet | 8092 |      16 |  1024 |              0 |             0.0 |               0.0 |         100.0 | 1874139 | 1874139 |
| jetty 9 servlet | 8093 |      16 |    32 |              0 |             0.0 |               0.0 |         100.0 | 1848426 | 1848426 |
| jetty 9 servlet | 8093 |      16 |    64 |              0 |             0.0 |               0.0 |         100.0 | 1960829 | 1960829 |
| jetty 9 servlet | 8093 |      16 |   128 |              0 |             0.0 |               0.0 |         100.0 | 1962531 | 1962531 |
| jetty 9 servlet | 8093 |      16 |   256 |              0 |             0.0 |               0.0 |         100.0 | 1970295 | 1970295 |
| jetty 9 servlet | 8093 |      16 |   512 |              0 |             0.0 |               0.0 |         100.0 | 1954974 | 1954974 |
| jetty 9 servlet | 8093 |      16 |  1024 |              0 |             0.0 |               0.0 |         100.0 | 1959529 | 1959529 |
|   nginx-clojure | 8094 |      16 |    32 |          31644 |            7.26 |            13.449 |           0.0 |       0 | 1898456 |
|   nginx-clojure | 8094 |      16 |    64 |          34901 |            4.38 |            10.939 |           0.0 |       0 | 2093850 |
|   nginx-clojure | 8094 |      16 |   128 |          35902 |           3.539 |            17.909 |           0.0 |       0 | 2153946 |
|   nginx-clojure | 8094 |      16 |   256 |          37305 |            2.45 |             16.01 |           0.0 |       2 | 2238110 |
|   nginx-clojure | 8094 |      16 |   512 |          38852 |           1.129 |              11.8 |           0.0 |      23 | 2330979 |
|   nginx-clojure | 8094 |      16 |  1024 |          39636 |           0.333 |             6.389 |         0.002 |      70 | 2377989 |
|   ring-undertow | 8096 |      16 |    32 |          16596 |          20.399 |             35.13 |           0.0 |       0 |  995706 |
|   ring-undertow | 8096 |      16 |    64 |          16503 |           20.75 |             41.75 |           0.0 |       4 |  990118 |
|   ring-undertow | 8096 |      16 |   128 |          16604 |          20.239 |            43.779 |         0.007 |      75 |  996256 |
|   ring-undertow | 8096 |      16 |   256 |          16469 |            20.5 |             45.97 |         0.038 |     381 |  988446 |
|   ring-undertow | 8096 |      16 |   512 |          16171 |            20.6 |             50.86 |         0.153 |    1488 |  971996 |
|   ring-undertow | 8096 |      16 |  1024 |          16160 |          19.649 |            56.399 |         0.562 |    5486 |  975022 |
|           vertx | 8097 |      16 |    32 |          31524 |           7.389 |             20.04 |           0.0 |       0 | 1891248 |
|           vertx | 8097 |      16 |    64 |          31351 |           7.449 |            21.729 |           0.0 |       0 | 1880921 |
