2015-1-30 CentOS 7,2*Xeon E5-2620 v2@2.10GHz(24 hardware threads), Oracle JDK1.7.0_72,Clojure 1.7.0-alpha3 10000~60000 Connections (wrk2 Keep-Alive:On)

|          Server | Port | Threads | Conns | Queries/Second | Mean Latency(s) | 99.99% Latency(s) | Error Rate(%) |  Errors |    Total |
|-----------------+------+---------+-------+----------------+-----------------+-------------------+---------------+---------+----------|
|      ring-jetty | 8082 |      16 | 10000 |         114705 |          14.239 |            28.489 |         0.001 |      88 |  6880289 |
|      ring-jetty | 8082 |      16 | 20000 |         112151 |           14.09 |             24.25 |           0.0 |       0 |  6726334 |
|      ring-jetty | 8082 |      16 | 40000 |         106550 |          13.899 |            22.899 |           0.0 |       0 |  6388004 |
|      ring-jetty | 8082 |      16 | 60000 |         101765 |          13.579 |             21.59 |           0.0 |       0 |  6100758 |
|           aleph | 8084 |      16 | 10000 |         194590 |           0.017 |             0.367 |           0.0 |       0 | 11672240 |
|           aleph | 8084 |      16 | 20000 |         189405 |           0.054 |             0.469 |           0.0 |       0 | 11361246 |
|           aleph | 8084 |      16 | 40000 |         178928 |            0.12 |             0.505 |           0.0 |       0 | 10732148 |
|           aleph | 8084 |      16 | 60000 |         168373 |           0.192 |             0.608 |           0.0 |       0 | 10098499 |
|        http-kit | 8087 |      16 | 10000 |         129594 |           10.42 |            38.169 |         0.019 |    1524 |  7774549 |
|        http-kit | 8087 |      16 | 20000 |         125491 |            9.89 |             40.86 |         0.774 |   58754 |  7584030 |
|        http-kit | 8087 |      16 | 40000 |         117873 |            3.23 |              52.2 |          3.91 |  287535 |  7353817 |
|        http-kit | 8087 |      16 | 60000 |         106842 |            3.43 |            49.939 |          6.49 |  444295 |  6845186 |
|        tomcat 7 | 8090 |      16 | 10000 |          56500 |           18.52 |              58.2 |         5.825 |  209641 |  3598757 |
|        tomcat 7 | 8090 |      16 | 20000 |          13128 |          20.139 |              58.8 |        38.732 |  497670 |  1284874 |
|        tomcat 7 | 8090 |      16 | 40000 |           2812 |          14.739 |              58.2 |        84.381 |  911008 |  1079624 |
|        tomcat 7 | 8090 |      16 | 60000 |           1452 |           8.649 |              55.8 |          93.2 | 1192355 |  1279349 |
| jetty 7 servlet | 8091 |      16 | 10000 |         143738 |            9.01 |             17.69 |           0.0 |       0 |  8621147 |
| jetty 7 servlet | 8091 |      16 | 20000 |         138853 |           9.279 |             16.18 |           0.0 |       0 |  8328261 |
| jetty 7 servlet | 8091 |      16 | 40000 |         129333 |           9.609 |             15.84 |           0.0 |       0 |  7754144 |
| jetty 7 servlet | 8091 |      16 | 60000 |         123381 |           9.229 |             14.59 |           0.0 |       0 |  7395228 |
| jetty 8 servlet | 8092 |      16 | 10000 |         137347 |           10.21 |             18.17 |           0.0 |       0 |  8238270 |
| jetty 8 servlet | 8092 |      16 | 20000 |         133688 |           10.27 |              17.6 |           0.0 |       0 |  8017821 |
| jetty 8 servlet | 8092 |      16 | 40000 |         124784 |           10.47 |            17.059 |           0.0 |       0 |  7481425 |
| jetty 8 servlet | 8092 |      16 | 60000 |         117740 |          10.369 |             16.69 |           0.0 |       0 |  7056025 |
| jetty 9 servlet | 8093 |      16 | 10000 |         178669 |           2.779 |              8.02 |           0.0 |       0 | 10717399 |
| jetty 9 servlet | 8093 |      16 | 20000 |         172988 |            3.13 |             7.469 |           0.0 |       0 | 10375693 |
| jetty 9 servlet | 8093 |      16 | 40000 |         164474 |           2.799 |              5.57 |           0.0 |       0 |  9861710 |
| jetty 9 servlet | 8093 |      16 | 60000 |         150882 |            3.68 |             7.869 |           0.0 |       0 |  9042788 |
|   nginx-clojure | 8094 |      16 | 10000 |         194562 |           0.013 |             0.383 |           0.0 |       0 | 11670050 |
|   nginx-clojure | 8094 |      16 | 20000 |         189401 |           0.042 |             0.568 |           0.0 |       0 | 11360359 |
|   nginx-clojure | 8094 |      16 | 40000 |         178952 |           0.098 |             0.324 |           0.0 |       0 | 10733407 |
|   nginx-clojure | 8094 |      16 | 60000 |         168353 |           0.159 |             0.474 |           0.0 |       0 | 10089351 |
|   ring-undertow | 8096 |      16 | 10000 |         194543 |           0.016 |              3.95 |         0.009 |    1087 | 11673418 |
|   ring-undertow | 8096 |      16 | 20000 |         188542 |           0.459 |             31.42 |         0.099 |   11266 | 11318539 |
