2015-2-17 CentOS 7,2*Xeon E5-2620 v2@2.10GHz(24 hardware threads), Oracle JDK1.7.0_72,Clojure 1.7.0-alpha3 10000-60000 Connections (wrk2 Keep-Alive:On)

|          Server | Port | Threads | Conns | Queries/Second | Mean Latency(s) | 99.99% Latency(s) | Error Rate(%) |  Errors |    Total |
|-----------------+------+---------+-------+----------------+-----------------+-------------------+---------------+---------+----------|
|      ring-jetty | 8082 |      16 | 10000 |         121536 |          23.989 |            40.569 |           0.0 |       0 |  7290046 |
|      ring-jetty | 8082 |      16 | 20000 |         119751 |           23.77 |             41.29 |           0.0 |       0 |  7182862 |
|      ring-jetty | 8082 |      16 | 30000 |         115037 |           23.85 |             39.88 |           0.0 |       0 |  6898091 |
|      ring-jetty | 8082 |      16 | 40000 |         112776 |          23.719 |            38.959 |           0.0 |       0 |  6761675 |
|      ring-jetty | 8082 |      16 | 60000 |         107621 |           23.52 |             37.81 |           0.0 |       0 |  6450508 |
|           aleph | 8084 |      16 | 10000 |         292377 |           9.229 |            16.729 |           0.0 |       0 | 17539342 |
|           aleph | 8084 |      16 | 20000 |         261953 |           11.25 |              20.2 |           0.0 |       0 | 15715309 |
|           aleph | 8084 |      16 | 30000 |         236704 |          12.199 |            22.409 |           0.0 |       0 | 14196333 |
|           aleph | 8084 |      16 | 40000 |         229746 |          12.079 |             22.43 |           0.0 |       0 | 13781793 |
|           aleph | 8084 |      16 | 60000 |         218608 |          11.729 |            22.329 |           0.0 |       0 | 13111200 |
|        http-kit | 8087 |      16 | 10000 |         115896 |          24.069 |            53.399 |         0.261 |   18206 |  6970626 |
|        http-kit | 8087 |      16 | 20000 |         116224 |           18.93 |            56.399 |         2.594 |  185659 |  7156034 |
|        http-kit | 8087 |      16 | 30000 |         114934 |           19.17 |              51.0 |         3.751 |  268675 |  7161053 |
|        http-kit | 8087 |      16 | 40000 |         117371 |          11.569 |              51.0 |         6.767 |  510688 |  7545664 |
|        http-kit | 8087 |      16 | 60000 |         116068 |           9.289 |             44.63 |         9.164 |  701496 |  7654085 |
|        tomcat 7 | 8090 |      16 | 10000 |          81517 |           18.61 |            56.999 |         4.251 |  217166 |  5108244 |
|        tomcat 7 | 8090 |      16 | 20000 |          61577 |           20.51 |              58.2 |        10.704 |  442632 |  4135152 |
|        tomcat 7 | 8090 |      16 | 30000 |          41391 |          23.049 |            57.599 |        21.482 |  679115 |  3161184 |
|        tomcat 7 | 8090 |      16 | 40000 |           9409 |           20.93 |            57.599 |        61.544 |  902462 |  1466367 |
|        tomcat 7 | 8090 |      16 | 60000 |           5228 |            27.7 |              58.2 |        78.796 | 1165540 |  1479169 |
| jetty 7 servlet | 8091 |      16 | 10000 |         142170 |          22.059 |             38.08 |           0.0 |       0 |  8527658 |
| jetty 7 servlet | 8091 |      16 | 20000 |         136705 |          22.229 |            38.729 |           0.0 |      18 |  8198468 |
| jetty 7 servlet | 8091 |      16 | 30000 |         133650 |           22.11 |             36.77 |           0.0 |       0 |  8013951 |
| jetty 7 servlet | 8091 |      16 | 40000 |         131246 |          21.879 |             35.59 |           0.0 |       0 |  7868114 |
| jetty 7 servlet | 8091 |      16 | 60000 |         124757 |          21.719 |            34.209 |           0.0 |       0 |  7476170 |
| jetty 8 servlet | 8092 |      16 | 10000 |         144842 |           21.86 |             37.58 |           0.0 |       0 |  8688206 |
| jetty 8 servlet | 8092 |      16 | 20000 |         139652 |           21.93 |            38.439 |           0.0 |       0 |  8376193 |
| jetty 8 servlet | 8092 |      16 | 30000 |         135694 |           21.87 |            38.209 |           0.0 |       0 |  8137552 |
| jetty 8 servlet | 8092 |      16 | 40000 |         134255 |           21.61 |            35.189 |           0.0 |       0 |  8048461 |
| jetty 8 servlet | 8092 |      16 | 60000 |         128141 |           21.34 |            34.049 |           0.0 |       0 |  7681799 |
| jetty 9 servlet | 8093 |      16 | 10000 |         172820 |           19.29 |            33.509 |           0.0 |       0 | 10365881 |
| jetty 9 servlet | 8093 |      16 | 20000 |         168972 |          19.139 |             32.65 |           0.0 |       0 | 10133517 |
| jetty 9 servlet | 8093 |      16 | 30000 |         169840 |            18.5 |             30.87 |           0.0 |       0 | 10186333 |
| jetty 9 servlet | 8093 |      16 | 40000 |         160370 |          18.889 |             31.18 |           0.0 |       0 |  9615257 |
| jetty 9 servlet | 8093 |      16 | 60000 |         152725 |           18.67 |             29.95 |           0.0 |       0 |  9154261 |
