2015-2-17 CentOS 7,2*Xeon E5-2620 v2@2.10GHz(24 hardware threads), Oracle JDK1.7.0_72,Clojure 1.7.0-alpha3 10000-60000 Connections (wrk2 Keep-Alive:Off)

|          Server | Port | Threads | Conns | Queries/Second | Mean Latency(s) | 99.99% Latency(s) | Error Rate(%) |  Errors |   Total |
|-----------------+------+---------+-------+----------------+-----------------+-------------------+---------------+---------+---------|
|      ring-jetty | 8082 |      16 | 10000 |          27500 |           1.929 |             50.79 |         2.851 |   48426 | 1698014 |
|      ring-jetty | 8082 |      16 | 20000 |          25765 |           2.259 |            49.939 |         7.216 |  120183 | 1665381 |
|      ring-jetty | 8082 |      16 | 30000 |          23771 |           2.539 |            52.799 |        13.227 |  217301 | 1642851 |
|      ring-jetty | 8082 |      16 | 40000 |          20520 |            3.89 |              52.2 |        23.953 |  387474 | 1617641 |
|      ring-jetty | 8082 |      16 | 60000 |          18210 |           4.039 |              44.4 |          35.2 |  592961 | 1684528 |
|           aleph | 8084 |      16 | 10000 |          26108 |           3.339 |            53.399 |         4.627 |   75981 | 1641986 |
|           aleph | 8084 |      16 | 20000 |          24036 |           3.549 |             45.22 |        11.201 |  181791 | 1622989 |
|           aleph | 8084 |      16 | 30000 |          22758 |            3.99 |              50.5 |         16.69 |  273423 | 1638163 |
|           aleph | 8084 |      16 | 40000 |          21308 |            4.42 |            48.529 |        23.529 |  393040 | 1670430 |
|           aleph | 8084 |      16 | 60000 |          18959 |           2.869 |             48.63 |        31.252 |  516414 | 1652412 |
|        tomcat 7 | 8090 |      16 | 10000 |           1430 |          10.039 |              58.8 |        75.844 |  269601 |  355465 |
|        tomcat 7 | 8090 |      16 | 20000 |            615 |           8.109 |            57.599 |        93.236 |  509831 |  546813 |
|        tomcat 7 | 8090 |      16 | 30000 |            352 |             3.5 |            57.599 |        97.231 |  742773 |  763919 |
|        tomcat 7 | 8090 |      16 | 40000 |            289 |           4.449 |            52.799 |        98.136 |  913768 |  931119 |
|        tomcat 7 | 8090 |      16 | 60000 |            185 |            3.38 |              48.2 |        99.074 | 1194159 | 1205319 |
| jetty 7 servlet | 8091 |      16 | 10000 |          27456 |           1.919 |            46.069 |         2.805 |   47531 | 1694255 |
| jetty 7 servlet | 8091 |      16 | 20000 |          26202 |            1.87 |            44.759 |         6.295 |  105576 | 1676979 |
| jetty 7 servlet | 8091 |      16 | 30000 |          24404 |           2.269 |              51.0 |        11.743 |  194662 | 1657680 |
| jetty 7 servlet | 8091 |      16 | 40000 |          20893 |            3.69 |            53.399 |        22.823 |  370435 | 1623012 |
| jetty 7 servlet | 8091 |      16 | 60000 |          18377 |            3.91 |            44.009 |        34.662 |  584302 | 1685668 |
| jetty 8 servlet | 8092 |      16 | 10000 |          27407 |            1.85 |              55.8 |         2.912 |   49309 | 1693069 |
| jetty 8 servlet | 8092 |      16 | 20000 |          26136 |            1.95 |             47.74 |         6.393 |  107068 | 1674737 |
| jetty 8 servlet | 8092 |      16 | 30000 |          24213 |           2.359 |              58.8 |        12.111 |  200074 | 1651894 |
| jetty 8 servlet | 8092 |      16 | 40000 |          20777 |             3.7 |              52.2 |        23.197 |  376191 | 1621713 |
| jetty 8 servlet | 8092 |      16 | 60000 |          18297 |           3.839 |             44.47 |         34.91 |  587911 | 1684064 |
| jetty 9 servlet | 8093 |      16 | 10000 |          27971 |           1.409 |            42.729 |         2.277 |   39093 | 1716698 |
| jetty 9 servlet | 8093 |      16 | 20000 |          26479 |            1.82 |             49.22 |         6.054 |  102326 | 1690047 |
| jetty 9 servlet | 8093 |      16 | 30000 |          22361 |           2.289 |              55.2 |        14.942 |  235531 | 1576208 |
| jetty 9 servlet | 8093 |      16 | 40000 |          19537 |            3.94 |            56.999 |        25.937 |  410136 | 1581256 |
| jetty 9 servlet | 8093 |      16 | 60000 |          18314 |            3.93 |            44.069 |        34.767 |  584751 | 1681892 |
|   nginx-clojure | 8094 |      16 | 10000 |          29117 |           0.362 |             37.13 |          0.75 |   13200 | 1759532 |
|   nginx-clojure | 8094 |      16 | 20000 |          28539 |           0.076 |             11.31 |         0.081 |    1393 | 1712834 |
|   nginx-clojure | 8094 |      16 | 30000 |          27406 |           0.357 |            56.999 |         2.316 |   38975 | 1682168 |
|   nginx-clojure | 8094 |      16 | 40000 |          25876 |           1.169 |            56.399 |         8.776 |  149220 | 1700263 |
|   nginx-clojure | 8094 |      16 | 60000 |          22203 |             2.5 |            53.999 |        21.804 |  371100 | 1701978 |
|   ring-undertow | 8096 |      16 | 10000 |          18487 |           5.719 |            57.599 |        11.572 |  145131 | 1254087 |
|   ring-undertow | 8096 |      16 | 20000 |          18483 |           5.389 |            56.999 |        19.652 |  271116 | 1379561 |
|   ring-undertow | 8096 |      16 | 30000 |          17883 |            5.09 |            57.599 |        27.197 |  400579 | 1472870 |
|   ring-undertow | 8096 |      16 | 40000 |          17579 |           4.199 |              55.8 |        30.876 |  470715 | 1524486 |
|   ring-undertow | 8096 |      16 | 60000 |          16212 |           4.099 |              50.2 |         40.35 |  657004 | 1628223 |
|           vertx | 8097 |      16 | 10000 |          27792 |           2.089 |             26.44 |         0.327 |    5483 | 1672428 |
|           vertx | 8097 |      16 | 20000 |          26341 |           2.269 |            53.399 |         1.115 |   17822 | 1597242 |
|           vertx | 8097 |      16 | 30000 |          25231 |           1.429 |              51.6 |         3.461 |   54250 | 1567029 |
|           vertx | 8097 |      16 | 40000 |          24284 |           1.029 |             47.09 |         6.001 |   92905 | 1548106 |
|           vertx | 8097 |      16 | 60000 |          23121 |            0.91 |            42.209 |         8.437 |  127668 | 1513184 |
|        tomcat 8 | 8098 |      16 | 10000 |          28596 |           1.159 |             37.09 |          1.73 |   30206 | 1745390 |
|        tomcat 8 | 8098 |      16 | 20000 |          23339 |            2.92 |            52.799 |        10.691 |  167553 | 1567225 |
|        tomcat 8 | 8098 |      16 | 30000 |          14031 |           3.559 |            53.999 |        34.881 |  450708 | 1292101 |
|        tomcat 8 | 8098 |      16 | 40000 |           9869 |           2.789 |              54.6 |        52.678 |  658640 | 1250306 |
|        tomcat 8 | 8098 |      16 | 60000 |           6398 |           2.009 |              51.0 |        71.919 |  982112 | 1365564 |
|      immutant 2 | 8099 |      16 | 10000 |          18513 |            5.26 |            56.399 |        11.334 |  141949 | 1252406 |
|      immutant 2 | 8099 |      16 | 20000 |          18569 |           5.329 |            53.999 |        19.563 |  270871 | 1384545 |
|      immutant 2 | 8099 |      16 | 30000 |          17653 |            5.34 |            56.999 |        27.904 |  409748 | 1468378 |
|      immutant 2 | 8099 |      16 | 40000 |          17508 |            4.26 |              54.6 |        31.171 |  475347 | 1524950 |
|      immutant 2 | 8099 |      16 | 60000 |          16193 |            3.99 |             49.61 |        40.302 |  655336 | 1626033 |

